"uid","nightuid","namedLocation","domainID","siteID","plotID","collectDate","endDate","samplingProtocolVersion","remarks","dataQF"
"7941594d-1d6a-457e-a0b1-02fb5bf5c7d8","26081d4b-3583-44be-8319-a1d9bea1ed8f","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2018-09-11","2018-09-11","NEON.DOC.000481vK",NA,NA
"90f8cc41-931d-480b-bea5-962399e722e5","7b21f8d1-40bd-4289-b943-11fcebd6831a","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-09-11","2018-09-11","NEON.DOC.000481vK",NA,NA
"b15773fb-ff9f-4594-a6ff-2c390ef63f7e","04933d29-e7b4-44d5-b1a6-3fc7cabce2b6","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-09-12","2018-09-12","NEON.DOC.000481vK",NA,NA
"33ca30cc-59d1-40a8-9867-151a2c459241","ab1f2ff7-94bd-4116-b03e-48926d4a1053","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-09-12","2018-09-12","NEON.DOC.000481vK",NA,NA
"2b09b20a-61d3-40af-84c2-bdd67520730f","fceff5f5-7cf6-4238-b77b-a58ada6092c3","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2018-09-12","2018-09-12","NEON.DOC.000481vK",NA,NA
"8161b9ab-6eb8-417b-b2bb-bd3dfad37196","a51bae16-e194-42e3-a093-f929cac665d3","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-09-12","2018-09-12","NEON.DOC.000481vK",NA,NA
"405f7e7d-ba4c-4f93-8215-93d016f19b94","19704153-5670-4311-b09b-c52f46ef1501","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2018-09-13","2018-09-13","NEON.DOC.000481vK",NA,NA
"f17dcb56-8fee-4609-936f-3584293accf5","d6b5fd63-db5f-4049-aad5-d8d4634d66d9","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2018-09-13","2018-09-13","NEON.DOC.000481vK",NA,NA
"9b253bae-c9c8-463d-af4a-90d365f51102","94a62c0d-1646-4ca2-9efe-652480494c9c","JERC_019.mammalGrid.mam","D03","JERC","JERC_019","2018-09-13","2018-09-13","NEON.DOC.000481vK",NA,NA
"0e2227f0-6d4a-4814-971a-6af0f6a4607d","00672f93-42cf-43dd-b04b-759fb02f3e8f","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2018-09-13","2018-09-13","NEON.DOC.000481vK",NA,NA
"e17b9e67-8a95-445a-b5d9-d6acdb9f7200","6f3c0c2d-af5a-4928-a2a3-04f0d3506ff1","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","2019-05-07","2019-05-07","NEON.DOC.000481vL",NA,NA
"98042a83-719d-4d57-8d8e-99c5bf3cd25d","276964b9-0a7c-4487-ba08-2817dc1ad402","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2019-05-07","2019-05-07","NEON.DOC.000481vL",NA,NA
"4f4293c2-e487-4b76-926f-3456fe82b0e1","a166d7c2-d48c-4862-8ee1-5939e1ef320a","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2019-05-07","2019-05-07","NEON.DOC.000481vL",NA,NA
"95a18a55-8be3-474b-85d9-9775095965f4","57b52fdb-dff1-4801-b436-68d866e7b9b9","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2019-05-07","2019-05-07","NEON.DOC.000481vL",NA,NA
"b64760cc-08c5-4fd6-93c9-15d5269d68d8","42d308ee-36ac-4763-a676-de06bde097fe","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","2019-05-08","2019-05-08","NEON.DOC.000481vL",NA,NA
"4fd57563-8e98-407b-8157-99ccaec5bbc5","2ecc6068-6dfe-4197-9428-b913011f0b80","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","2019-05-08","2019-05-08","NEON.DOC.000481vL",NA,NA
"1b33b02d-0428-4f58-81ab-f2f0c9686f73","2a38e904-4623-4b7d-9697-0592cb023dfb","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","2019-05-08","2019-05-08","NEON.DOC.000481vL",NA,NA
"e012318b-c1b3-475d-8d05-9e0f85c07a6e","500f1c2f-7630-4556-acef-50bfa7eb5cdc","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","2019-05-08","2019-05-08","NEON.DOC.000481vL",NA,NA
